product,price,type,uuid
Luxury Soft Toilet Tissue 4 Roll White,1.0,household,3410
Dishwasher Salt Granules 3Kg,1.7000000000000002,household,46225
Plenty White Kitchen Roll 100 Sheets,2.0,household,52022
Dettol Surface Cleanser Antibacterial Spray 500 Ml,1.15,household,64782
Luxury Soft Sensitive 40 Flushable Wipes,0.7000000000000001,household,25983
Kitchen Foil 10M X 290Mm,1.25,household,17440
Soft Regular Tissues 72S,1.25,household,36381
Zoflora Disinfectant Fragranced 120Ml,1.3,household,20301
Brita Maxtra Plus Cartridges 3 Pack,16.0,home-and-ents,4227
Duracell AA 8 Pack,7.5,home-and-ents,49315
Gold Leaf Jps 50G,21.0,home-and-ents,61457
Golden Virginia Original 50G,27.65,home-and-ents,42932
Nuco Spectrum B5 Notebook,3.5,home-and-ents,13484
Amber Leaf Roll Your Own 50G,27.65,home-and-ents,51708
Duracell Plus AA 4 Pack,4.25,home-and-ents,39193
L&B Blue Real Blue 20 Pack,9.5,home-and-ents,18736
Lambert & Butler Original Silver 20 Pack,10.8,home-and-ents,28285
Players Real Red Superking 20 Pack,9.5,home-and-ents,23711
Rothmans Superking Blue 20 Pack,9.5,home-and-ents,12132
Swan Menthol Extra Slim Filters 120 Pack,1.03,home-and-ents,52120
Swan Extra Slim Filter Tips 120 Pack,1.0,home-and-ents,54698
Multipurpose Paper 80Gsm 500 Sheets,3.5,home-and-ents,18940
De-Ionised Water 2.5L,1.5,home-and-ents,47439
Miracle Gro All Purpose Lqd Plant Food 1L,4.0,home-and-ents,14428
Swan Slim Loose Filters 165Pk,0.88,home-and-ents,31614
First Class Stamps 12 Pack,10.2,home-and-ents,28028
Bryant & May Extra Long Matches Av 45 Matches,1.0,home-and-ents,57769
Rizla Green Papers Multi 5 Pack,1.13,home-and-ents,23876
A4 White Paper 500 Sheets 70Gsm,2.85,home-and-ents,39324
Miracle Gro Soluble Plant Food 1Kg,4.0,home-and-ents,17707
Paper Plates White 23Cm 50 Pack,1.0,home-and-ents,23858
The Original Cooks Matches Av 220 Matches,1.0,home-and-ents,25512
